facility_id,facility_name,city,zip,inspection_date,n_violations,n_critical,n_categories,has_temperature,has_handwashing,has_pests,has_sourcing,has_permit,prior_visits,prior_viol_sum,prior_crit_sum,prior_viol_avg,days_since_last,month,dow,is_summer,tmax,tmin,tavg,prcp,target_critical
FA0001937,COUNTRYWOOD PRIMARY CENTER,HUNTINGTON STATION,11746.0,2024-03-14 14:20:00,1,1,1,0,1,0,0,0,0,0,0,0.0,-1.0,3,3,0,67.0,35.0,51.0,0.0,0
FA0001937,COUNTRYWOOD PRIMARY CENTER,HUNTINGTON STATION,11746.0,2025-03-10 17:07:00,3,3,3,0,1,0,0,1,1,1,1,1.0,361.0,3,0,0,,,,,0
FA0001938,MAPLEWOOD INTERMEDIATE SCHOOL,HUNTINGTON STATION,11746.0,2024-01-26 19:56:00,3,2,3,0,1,0,0,0,0,0,0,0.0,-1.0,1,4,0,45.0,42.0,43.5,0.28,0
FA0001938,MAPLEWOOD INTERMEDIATE SCHOOL,HUNTINGTON STATION,11746.0,2025-02-26 17:43:00,2,0,1,0,0,0,0,0,1,3,2,3.0,396.0,2,2,0,,,,,0
FA0001939,OAKWOOD PRIMARY CENTER,HUNTINGTON,11743.0,2024-06-17 14:29:00,3,1,3,0,1,0,0,0,0,0,0,0.0,-1.0,6,0,1,78.0,57.0,67.5,0.0,0
FA0001939,OAKWOOD PRIMARY CENTER,HUNTINGTON,11743.0,2025-03-11 17:56:00,2,1,2,0,0,1,0,0,1,3,1,3.0,267.0,3,1,0,,,,,0
FA0001940,SILAS WOOD SIXTH GRADE CENTER,HUNTINGTON STATION,11746.0,2024-02-05 16:18:00,3,2,3,0,1,0,0,1,0,0,0,0.0,-1.0,2,0,0,45.0,29.0,37.0,0.0,0
FA0001940,SILAS WOOD SIXTH GRADE CENTER,HUNTINGTON STATION,11746.0,2025-03-03 17:35:00,4,4,3,1,1,0,0,1,1,3,2,3.0,392.0,3,0,0,,,,,0
FA0001942,DAYTON AVENUE SCHOOL,MANORVILLE,11949.0,2025-10-09 15:44:00,3,0,2,0,1,0,0,0,0,0,0,0.0,-1.0,10,3,0,,,,,0
FA0001943,SOUTHOLD JUNIOR SENIOR HIGH SCHOOL,SOUTHOLD,11971.0,2024-03-12 16:17:00,8,6,4,1,1,0,0,1,0,0,0,0.0,-1.0,3,1,0,63.0,38.0,50.5,0.0,0
FA0001943,SOUTHOLD JUNIOR SENIOR HIGH SCHOOL,SOUTHOLD,11971.0,2025-01-24 16:22:00,2,2,2,0,1,0,0,0,1,8,6,8.0,318.0,1,4,0,,,,,0
FA0001944,WARD MELVILLE HIGH SCHOOL,EAST SETAUKET,11733.0,2024-05-03 14:53:00,4,4,3,1,1,0,0,1,0,0,0,0.0,-1.0,5,4,0,59.0,47.0,53.0,0.0,0
FA0001944,WARD MELVILLE HIGH SCHOOL,EAST SETAUKET,11733.0,2025-01-28 16:27:00,5,4,3,1,1,0,0,1,1,4,4,4.0,270.0,1,1,0,,,,,0
FA0001945,PAUL J. GELINAS J.H.S.,EAST SETAUKET,11733.0,2024-09-04 14:53:00,2,2,2,0,1,0,0,1,0,0,0,0.0,-1.0,9,2,0,77.0,49.0,63.0,0.0,0
FA0001945,PAUL J. GELINAS J.H.S.,EAST SETAUKET,11733.0,2025-10-17 14:45:00,3,3,3,1,1,0,0,1,1,2,2,2.0,407.0,10,4,0,,,,,0
FA0001946,ROBERT C. MURPHY JUNIOR H,STONY BROOK,11790.0,2024-09-13 14:18:00,4,4,2,0,1,0,0,1,0,0,0,0.0,-1.0,9,4,0,80.0,53.0,66.5,0.0,0
FA0001946,ROBERT C. MURPHY JUNIOR HIGH,STONY BROOK,11790.0,2025-09-16 12:32:00,2,1,2,0,1,0,0,0,1,4,4,4.0,367.0,9,1,0,,,,,0
